Neighbourhood,Neighbourhood Id,TMCI,LDIndex,PopMales,LangChin,LangItal,LangKor,LangPort,LangRuss,LangSpan,LangTagalog,LangUrdu,Businesses,ChildCareSpaces,SocialAssistance,GreenSpaces,PollutantsAir,HomePrices,PercentMidCentHRHousehold,SocialHousingUnits,RoadVolume
West Humber-Clairville,1,1119,0.741342682,17095,475,925,95,205,15,1100,850,715,2463,195,2912,2.078835532,1585690,317508,6.8,952,5956.638889
Mount Olive-Silverstone-Jamestown,2,690,0.815741029,16015,275,750,60,115,50,820,345,1075,271,60,6561,1.048870056,31,251119,42.9,1146,3514.166667
Thistletown-Beaumond Heights,3,192,0.766719586,4920,95,705,35,105,15,570,130,300,217,25,1276,0.939107957,0,414216,13.4,447,3545
Rexdale-Kipling,4,164,0.660805938,5035,95,475,30,145,30,700,180,215,144,75,1323,0.240663012,35920,392271,15.2,432,7621.333333
Elms-Old Rexdale,5,185,0.685554389,4615,90,510,55,80,30,670,195,140,67,60,1683,0.730089694,309,233832,27.3,463,4115.5
Kingsview Village-The Westway,6,351,0.795564999,10310,315,1310,185,305,150,970,255,1285,160,129,4348,0.310186768,332,292861,58.2,367,3371
Willowridge-Martingrove-Richview,7,342,0.713079941,10190,390,1745,320,370,130,760,250,485,169,165,2032,0.348688375,0,511637,35.5,561,2446.833333
Humber Heights-Westmount,8,106,0.759220994,4740,70,1090,85,315,200,405,40,55,82,140,856,0.431646057,72,491396,35,669,7039
Edenbridge-Humber Valley,9,185,0.676580533,7075,225,900,190,310,355,745,105,15,153,30,751,0.544804291,0,873268,25.7,0,4880.25
Princess-Rosethorn,10,157,0.570456219,5470,325,465,245,145,110,110,65,35,74,367,299,0.220794818,0,971668,11,0,4781
Eringate-Centennial-West Deane,11,204,0.690045759,8985,575,640,395,480,325,470,220,155,229,172,775,2.891261519,48397,423034,22.3,104,6543.222222
Markland Wood,12,113,0.630600016,4860,225,210,180,145,180,130,80,15,106,105,239,0.224255343,441,505350,47.5,0,4689.333333
Etobicoke West Mall,13,151,0.757834126,5100,275,140,205,180,200,415,315,195,146,60,1091,0.147624711,0,298426,52.7,99,3598
Islington-City Centre West,14,853,0.728864028,18035,1060,1125,1315,820,790,970,705,355,2263,204,2534,0.51025012,895785,491678,25.1,1245,5704.939394
Kingsway South,15,120,0.381137151,4330,100,220,65,95,60,100,55,5,195,115,74,0.295550892,470,941223,4.5,0,5078.333333
Stonegate-Queensway,16,326,0.641219817,11935,330,755,135,555,635,455,260,35,595,283,1593,0.755267148,17931,690949,3.1,129,7115.142857
Mimico,17,466,0.63893581,12925,755,675,235,590,735,775,475,40,619,195,2634,0.716898274,96927,429941,17.8,947,4599.75
New Toronto,18,321,0.558908268,5300,155,75,115,145,160,240,295,35,368,90,1600,0.593630152,34919,460811,7.4,1189,4541.75
Long Branch,19,184,0.54824702,4745,110,105,25,160,175,270,225,30,170,54,1024,0.323676887,2405,459088,15.3,106,2514.5
Alderwood,20,189,0.606808002,5765,180,590,40,425,190,160,260,10,309,120,516,0.292452196,64042,504233,7.5,84,4381
Humber Summit,21,289,0.815468009,6180,125,2220,15,130,15,650,85,1160,1373,53,1659,0.686271868,521916,354381,13.8,124,4400.090909
Humbermede,22,345,0.79021258,7700,275,1270,115,115,25,1585,330,1045,374,55,2590,0.918793036,699603,314721,22.1,218,4377.333333
Pelmo Park-Humberlea,23,222,0.701375163,4200,170,1505,25,410,5,605,120,25,152,0,798,0.636607684,2735,412618,6.5,176,5889.857143
Black Creek,24,572,0.747526043,10260,745,1050,25,120,105,1310,310,185,306,175,6408,0.410027147,6055,235143,54.7,1432,7326.3
Glenfield-Jane Heights,25,734,0.77360505,14755,1445,3475,40,355,90,3695,485,125,587,173,7263,0.808033611,860,304262,29.8,1587,3632.714286
Downsview-Roding-CFB,26,981,0.752538706,16700,730,5040,80,835,180,3470,1565,130,985,238,5618,0.852075706,256337,400486,20.3,527,2825.888889
York University Heights,27,776,0.801404621,13580,1750,2280,265,285,430,1475,930,580,2643,156,4720,0.887333748,203624,359372,39.4,511,5546.25
Rustic,28,233,0.712584247,4475,140,1510,10,440,20,680,110,65,48,26,1924,0.19744749,0,493442,33.7,1435,7692
Maple Leaf,29,117,0.776084272,4935,100,2295,15,480,40,680,400,70,47,90,919,0.167833165,1011,540741,20.4,175,3384.666667
Brookhaven-Amesbury,30,371,0.732061329,8315,465,1210,30,985,45,1580,480,115,466,54,3420,0.405956959,4409,352428,45.7,589,4326.375
Yorkdale-Glen Park,31,551,0.772607586,6750,640,2950,50,810,85,625,605,60,1468,82,1502,0.236609421,82979,421045,21.6,798,4193.75
